DATAFLOW,LAST UPDATE,freq,currency,prod_veg,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Austria,2000,11.05,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Austria,2001,10.70,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Austria,2002,9.77,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Austria,2003,10.77,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Austria,2004,8.84,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Austria,2005,8.19,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Austria,2006,10.49,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Austria,2007,18.90,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Austria,2008,13.61,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Austria,2009,8.32,p
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Austria,2010,18.41,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Austria,2011,15.72,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Austria,2012,21.1,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Austria,2013,14.84,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Austria,2014,13.48,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Austria,2015,13.72,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Austria,2016,11.55,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Austria,2017,14.46,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Austria,2018,15.41,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Austria,2019,14.63,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Austria,2020,14.88,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Austria,2021,22.65,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Austria,2022,28.05,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Austria,2023,16.70,p
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Belgium,2000,11.06,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Belgium,2001,10.86,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Belgium,2002,9.88,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Belgium,2003,11.21,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Belgium,2004,10.87,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Belgium,2005,9.01,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Belgium,2006,11.92,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Belgium,2007,17.74,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Belgium,2008,16.49,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Belgium,2009,11.05,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Belgium,2010,15.58,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Belgium,2011,19.83,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Belgium,2012,22.33,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Belgium,2013,19.87,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Belgium,2014,16.48,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Belgium,2015,15.44,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Belgium,2016,13.34,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Belgium,2017,14.14,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Belgium,2018,16.66,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Belgium,2019,15.59,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Belgium,2020,17.45,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Belgium,2021,23.30,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Belgium,2022,32.11,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Belgium,2023,21.05,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Bulgaria,2000,9.39,
